freq,wst_oper,stk_flow,unit,geo\TIME_PERIOD	2010 	2012 	2014 	2016 	2018 	2020 
A,DSP_I,FLOW_GRS,T,IE	40323 	13417 	13122 	7489 	8879 	: 
A,DSP_I,FLOW_GRS,T,IT	6069300 	5804989 	6687100 	3712057 	3729985 	674043 
A,DSP_I,FLOW_GRS,T,LT	1494 	793 	2394 	1913 	2097 	2119 
A,DSP_I,FLOW_GRS,T,LU	123338 	133073 	0 	12 	0 	100 
A,DSP_I,FLOW_GRS,T,LV	213 	840 	543 	198 	235 	49 
A,DSP_I,FLOW_GRS,T,MT	7262 	5972 	6121 	5451 	4840 	6011 
A,DSP_I,FLOW_GRS,T,NL	3959389 	1594952 	1131746 	1160834 	1106244 	1145661 
A,DSP_I,FLOW_GRS,T,PL	356347 	324881 	671515 	570961 	626545 	283113 
A,DSP_I,FLOW_GRS,T,PT	24924 	32333 	22473 	23271 	30478 	33873 
A,DSP_I,FLOW_GRS,T,RO	121199 	182178 	68015 	99951 	79937 	82971 
A,DSP_I,FLOW_GRS,T,SE	86744 	43164 	107471 	198557 	128054 	69478 
A,DSP_I,FLOW_GRS,T,SI	35335 	36020 	34641 	37357 	39262 	38243 
A,DSP_I,FLOW_GRS,T,SK	65631 	71161 	58779 	36345 	40174 	11754 
A,DSP_I,FLOW_GRS,T,UK	5698610 	5915632 	7555918 	5684248 	7290101 	: 
A,DSP_I,FLOW_NET,T,AT	1642514 	70875 	: c	: c	: c	: c
A,DSP_I,FLOW_NET,T,BE	1970810 	2702775 	1650627 	2007737 	1740553 	577864 
A,DSP_I,FLOW_NET,T,BG	2020 	5728 	18556 	10880 	5723 	: 
A,DSP_I,FLOW_NET,T,CY	6856 	6702 	20 	193 	20 	17 
A,DSP_I,FLOW_NET,T,CZ	54352 	72141 	76829 	78415 	94085 b	-44519 
A,DSP_I,FLOW_NET,T,DE	12398518 s	10780136 s	8109092 s	: c	1898306 s	1982989 s
A,DSP_I,FLOW_NET,T,DK	0 	2873 	7766 	3200 	12040 	7100 
A,DSP_I,FLOW_NET,T,EE	43 	54 	4 	236 	: 	: 
A,DSP_I,FLOW_NET,T,EL	: 	: 	: 	: 	7004 	: 
A,DSP_I,FLOW_NET,T,ES	156212 	9250 	8387 	14370 	154261 	110923 
A,DSP_I,FLOW_NET,T,EU27_2020	35110000 	29520000 	25080000 	15960000 	13960000 	9380000 
A,DSP_I,FLOW_NET,T,FI	366622 	437642 	485540 	55030 	98172 	137723 
A,DSP_I,FLOW_NET,T,FR	7561793 	7146561 	5869608 	4825207 	4067903 	4002347 
A,DSP_I,FLOW_NET,T,HR	23838 	93 	51 	12230 	9946 	2021 
A,DSP_I,FLOW_NET,T,HU	79649 	87141 	88568 	79633 	81026 	83812 
A,DSP_I,FLOW_NET,T,IE	37368 	9407 	13050 	21618 s	12405 	: 
A,DSP_I,FLOW_NET,T,IT	6185433 s	5937762 s	6780521 s	3824973 s	4060090 s	1024325 s
A,DSP_I,FLOW_NET,T,LT	1569 	6880 	2358 	2714 	2767 	: 
A,DSP_I,FLOW_NET,T,LU	123348 	133088 	0 	4918 	2761 	4390 
A,DSP_I,FLOW_NET,T,LV	: 	: 	: 	: 	-260 	-288 
A,DSP_I,FLOW_NET,T,MT	8644 	6669 	6996 	6014 	5894 	9024 
A,DSP_I,FLOW_NET,T,NL	4103739 	1599993 	1124737 	1146843 	957538 	1100910 
A,DSP_I,FLOW_NET,T,PL	356573 	326847 	671509 	570954 	627880 	283089 
A,DSP_I,FLOW_NET,T,PT	25048 	32336 	23749 	23507 	23668 	33727 
A,DSP_I,FLOW_NET,T,RO	121199 d	182178 d	68015 d	99951 d	79654 d	82830 d
A,DSP_I,FLOW_NET,T,SE	85625 	43978 	100124 	199531 	132251 	: 
A,DSP_I,FLOW_NET,T,SI	35382 	37452 	38722 	42260 	66701 	55691 
A,DSP_I,FLOW_NET,T,SK	65631 d	71161 d	58779 d	36345 d	40123 d	11565 d
A,DSP_I,FLOW_NET,T,UK	5702051 	5951910 	7554479 	5697410 	: 	: 
A,DSP_I,IMP,T,AT	5417 	3720 	3095 	19379 	2843 	45778 
A,DSP_I,IMP,T,BE	8106 	23064 	51426 	5911 	12238 	16954 
A,DSP_I,IMP,T,BG	26 	27 	59 	512 	61 	: 
A,DSP_I,IMP,T,CY	0 	0 	0 	0 	0 	0 
A,DSP_I,IMP,T,CZ	66 	274 	23 	696 	214 	133912 
A,DSP_I,IMP,T,DE	75580 s	98161 s	136010 s	89110 s	49755 s	28183 s
A,DSP_I,IMP,T,DK	0 	0 	0 	0 	156 	674 
A,DSP_I,IMP,T,EE	0 	2 	8 	23 	: 	: 
A,DSP_I,IMP,T,EL	: 	: 	: 	: 	10 	: 
A,DSP_I,IMP,T,ES	562 	514 	116 	121 	3174 	2590 
A,DSP_I,IMP,T,EU27_2020	430000 	240000 	440000 	1750000 	290000 	390000 
A,DSP_I,IMP,T,FI	0 	0 	0 	1 	2 	530 
A,DSP_I,IMP,T,FR	256852 	18095 	52807 	25550 	41422 	55784 
A,DSP_I,IMP,T,HR	0 	0 	0 	0 	0 	0 
A,DSP_I,IMP,T,HU	1473 	255 	140 	0 	6 	460 
A,DSP_I,IMP,T,IE	3057 	4047 	3416 	62 s	193 	: 
A,DSP_I,IMP,T,IT	10230 s	9715 s	10727 s	6178 s	1192 s	189 s
A,DSP_I,IMP,T,LT	0 	0 	94 	0 	0 	: 
A,DSP_I,IMP,T,LU	13 	10 	0 	0 	0 	0 
A,DSP_I,IMP,T,LV	: 	: 	: 	: 	743 	573 
A,DSP_I,IMP,T,MT	0 	0 	0 	0 	0 	0 
A,DSP_I,IMP,T,NL	29826 	62067 	33221 	45490 	61477 	135126 
A,DSP_I,IMP,T,PL	229 	426 	51 	140 	92 	25 
A,DSP_I,IMP,T,PT	0 	0 	0 	0 	6856 	401 
A,DSP_I,IMP,T,RO	0 d	0 d	0 d	0 d	286 d	197 d
A,DSP_I,IMP,T,SE	5543 	7149 	11004 	4365 	5387 	: 
A,DSP_I,IMP,T,SI	0 	0 	6 	0 	453 	0 
A,DSP_I,IMP,T,SK	0 d	0 d	0 d	0 d	51 d	350 d
A,DSP_I,IMP,T,UK	991 	3323 	6091 	4672 	: 	: 
A,DSP_L,BAL_TRD,T,AT	-3627 	-3068 	-12790 	-21523 	-9786 	-47781 
A,DSP_L,BAL_TRD,T,BE	-174757 	-619395 	-310109 	-213693 	-118827 	-208348 
A,DSP_L,BAL_TRD,T,BG	824 	-41 	-1151 	-18401 	-3 	: 
A,DSP_L,BAL_TRD,T,CY	0 	0 	0 	0 	0 	0 
A,DSP_L,BAL_TRD,T,CZ	-4085 	-9630 	-15408 	4057 	-5536 	-39898 
A,DSP_L,BAL_TRD,T,DE	215248 s	146861 s	114127 s	-110355 s	-99912 s	-68889 s
A,DSP_L,BAL_TRD,T,DK	0 	49314 	-157111 	65896 	27478 	27344 
A,DSP_L,BAL_TRD,T,EE	-7574 	-8765 	-13569 	0 	: 	: 
A,DSP_L,BAL_TRD,T,EL	: 	: 	: 	: 	-743 	: 
A,DSP_L,BAL_TRD,T,ES	-102202 	-68388 	-26926 	-25858 	-30690 	-15571 
A,DSP_L,BAL_TRD,T,EU27_2020	210000 	-440000 	-250000 	-350000 	-230000 	-500000 
A,DSP_L,BAL_TRD,T,FI	-8609 	-93587 	0 	-1 	888 	1489 
A,DSP_L,BAL_TRD,T,FR	-51909 	-73354 	-39144 	-13550 	19545 	-4648 
A,DSP_L,BAL_TRD,T,HR	-2467 	0 	0 	1439 	0 	0 
A,DSP_L,BAL_TRD,T,HU	-256 	-851 	-4301 	40 	-1302 	-90 
A,DSP_L,BAL_TRD,T,IE	262 	-312 	360 	357 s	-699 	: 
A,DSP_L,BAL_TRD,T,IT	260797 s	427422 s	155433 s	145297 s	137764 s	117286 s
A,DSP_L,BAL_TRD,T,LT	-245 	-627 	5980 	7741 	-643 	: 
A,DSP_L,BAL_TRD,T,LU	22 	-79 	-13 	16795 	43745 	27795 
A,DSP_L,BAL_TRD,T,LV	: 	: 	: 	: 	-62704 	-46858 
A,DSP_L,BAL_TRD,T,MT	0 	0 	0 	0 	11477 	18057 
A,DSP_L,BAL_TRD,T,NL	11724 	153688 	11526 	107784 	-494413 	-339090 
A,DSP_L,BAL_TRD,T,PL	2399 	-2697 	6517 	-11980 	13290 	-3167 
A,DSP_L,BAL_TRD,T,PT	686 	574 	182 	474 	-11 	-226 
A,DSP_L,BAL_TRD,T,RO	0 d	0 d	0 d	0 d	-254 d	-149 d
A,DSP_L,BAL_TRD,T,SE	98175 	30752 	76521 	80249 	122322 	: 
A,DSP_L,BAL_TRD,T,SI	-757 	-457 	0 	3 	0 	14483 
A,DSP_L,BAL_TRD,T,SK	0 d	0 d	0 d	0 d	-10960 d	-15313 d
A,DSP_L,BAL_TRD,T,UK	-26225 	3488 	-7898 	26917 	: 	: 
A,DSP_L,EXP,T,AT	5770 	11132 	5837 	11114 	8048 	5011 
A,DSP_L,EXP,T,BE	81989 	78580 	45256 	45209 	48995 	50363 
A,DSP_L,EXP,T,BG	864 	0 	0 	91 	0 	: 
A,DSP_L,EXP,T,CY	0 	0 	0 	0 	0 	0 
A,DSP_L,EXP,T,CZ	1513 	2369 	1816 	4200 	1749 	31058 
A,DSP_L,EXP,T,DE	336202 s	389343 s	397599 s	21871 s	24973 s	44443 s
A,DSP_L,EXP,T,DK	0 	161375 	86111 	69422 	27666 	27356 
A,DSP_L,EXP,T,EE	0 	0 	6938 	0 	: 	: 
A,DSP_L,EXP,T,EL	: 	: 	: 	: 	4 	: 
A,DSP_L,EXP,T,ES	7193 	913 	2404 	901 	284 	10723 
A,DSP_L,EXP,T,EU27_2020	760000 	810000 	780000 	790000 	840000 	740000 
A,DSP_L,EXP,T,FI	0 	0 	0 	0 	949 	1490 
A,DSP_L,EXP,T,FR	17842 	16279 	14755 	15347 	39869 	18845 
A,DSP_L,EXP,T,HR	4990 	0 	0 	1439 	0 	0 
A,DSP_L,EXP,T,HU	78 	1 	92 	43 	1 	0 
A,DSP_L,EXP,T,IE	661 	1061 	365 	412 s	0 	: 
A,DSP_L,EXP,T,IT	293215 s	484870 s	247035 s	217333 s	137970 s	117864 s
A,DSP_L,EXP,T,LT	1821 	194 	6000 	7987 	998 	: 
A,DSP_L,EXP,T,LU	35 	23 	16 	16795 	43745 	27795 
A,DSP_L,EXP,T,LV	: 	: 	: 	: 	591 	7429 
A,DSP_L,EXP,T,MT	0 	0 	0 	0 	11477 	18057 
A,DSP_L,EXP,T,NL	12676 	156546 	68604 	133022 	-286698 	146397 
A,DSP_L,EXP,T,PL	22426 	13905 	15021 	362 	20050 	556 
A,DSP_L,EXP,T,PT	686 	574 	182 	474 	0 	0 
A,DSP_L,EXP,T,RO	0 d	0 d	0 d	0 d	5 d	19 d
A,DSP_L,EXP,T,SE	116131 	121792 	154698 	224859 	199327 	: 
A,DSP_L,EXP,T,SI	139 	795 	2 	3 	0 	15480 
A,DSP_L,EXP,T,SK	0 d	0 d	0 d	0 d	23 d	0 d
A,DSP_L,EXP,T,UK	8845 	18516 	9902 	35290 	: 	: 
A,DSP_L,FLOW_GRS,T,AT	1200534 	1033336 	1474900 	1259781 	1606695 	1275526 
A,DSP_L,FLOW_GRS,T,BE	2210360 	1815619 	1483704 	1693290 	2055500 	1377391 
A,DSP_L,FLOW_GRS,T,BG	5713124 	14143551 	13700908 	10288035 	10924195 	5722782 
A,DSP_L,FLOW_GRS,T,CY	538544 	501765 	473673 	515493 	552050 	424396 
A,DSP_L,FLOW_GRS,T,CZ	3504232 	2898759 	2667792 	2730771 	: bc	3345140 
A,DSP_L,FLOW_GRS,T,DE	11047821 	12919767 	15830334 	15784793 	15229421 	12360345 
A,DSP_L,FLOW_GRS,T,DK	503229 	401972 	262708 	173626 	80207 	90992 
A,DSP_L,FLOW_GRS,T,EE	8268874 	7636717 	9029080 	9300782 	10237894 	5901760 
A,DSP_L,FLOW_GRS,T,EL	16457495 	17084474 	14381724 	6949529 	8056335 	4712927 
A,DSP_L,FLOW_GRS,T,ES	25619208 	23376469 	25786652 	21412119 	23917419 	19481438 
A,DSP_L,FLOW_GRS,T,EU27_2020	172900000 	176960000 	172460000 	151760000 	158400000 	122260000 
A,DSP_L,FLOW_GRS,T,FI	3369944 	2438522 	1830562 	1201950 	867077 	770134 
A,DSP_L,FLOW_GRS,T,FR	21889211 	20607561 	19839897 	17916874 	20981111 	19258680 
A,DSP_L,FLOW_GRS,T,HR	1408265 	1446592 	1428185 	1421204 	1362274 	1132242 
A,DSP_L,FLOW_GRS,T,HU	5456254 	5898286 	4803500 	4356391 	4033536 	4083958 
A,DSP_L,FLOW_GRS,T,IE	1922667 	1550697 	849188 	1153193 	719896 	: 
A,DSP_L,FLOW_GRS,T,IT	20747937 	19028781 	16495928 	15474829 	14652186 	11888102 
A,DSP_L,FLOW_GRS,T,LT	1122269 	977340 	822496 	428952 	374522 	261578 
A,DSP_L,FLOW_GRS,T,LU	51051 	40909 	45591 	206215 	58256 	57368 
A,DSP_L,FLOW_GRS,T,LV	601025 	546812 	532857 	360353 	434698 	497756 
A,DSP_L,FLOW_GRS,T,MT	230791 	220837 	231820 	236546 	274864 	274717 
A,DSP_L,FLOW_GRS,T,NL	841280 	1173529 	1071030 	1112687 	1303034 	1159231 
A,DSP_L,FLOW_GRS,T,PL	17932912 	19455889 	20603034 	19712790 	18537426 	11381421 
A,DSP_L,FLOW_GRS,T,PT	3731141 	3565262 	3026177 	2892538 	3362259 	3620794 
A,DSP_L,FLOW_GRS,T,RO	13513787 	13547850 	11640950 	10731888 	11271889 	8854016 
A,DSP_L,FLOW_GRS,T,SE	1277368 	1310334 	1342735 	1313988 	1388194 	998564 
A,DSP_L,FLOW_GRS,T,SI	861001 	402296 	248115 	110821 	129370 	140608 
A,DSP_L,FLOW_GRS,T,SK	2882851 	2931386 	2559740 	3017152 	2781025 	2272046 
A,DSP_L,FLOW_GRS,T,UK	31317697 	27351146 	23197469 	20007737 	18194730 	: 
A,DSP_L,FLOW_NET,T,AT	1196907 	1030268 	1462110 	1238258 	1596909 	1227745 
A,DSP_L,FLOW_NET,T,BE	2035603 	1196224 	1173595 	1479597 	1936674 	1169043 
A,DSP_L,FLOW_NET,T,BG	5713948 	14143510 	13699757 	10269634 	10924192 	: 
A,DSP_L,FLOW_NET,T,CY	538544 	501765 	473673 	515493 	552050 	424396 
A,DSP_L,FLOW_NET,T,CZ	3500147 	2889129 	2652384 	2734828 	: bc	3305241 
A,DSP_L,FLOW_NET,T,DE	11263069 s	13066628 s	15944461 s	15674438 s	15129508 s	12291456 s
A,DSP_L,FLOW_NET,T,DK	503229 	451286 	105597 	239522 	107685 	118335 
A,DSP_L,FLOW_NET,T,EE	8261300 	7627952 	9015511 	9300782 	: 	: 
A,DSP_L,FLOW_NET,T,EL	: 	: 	: 	: 	8055592 	: 
A,DSP_L,FLOW_NET,T,ES	25517006 	23308081 	25759726 	21386261 	23886729 	19465867 
A,DSP_L,FLOW_NET,T,EU27_2020	173110000 	176520000 	172220000 	151410000 	158170000 	121760000 
A,DSP_L,FLOW_NET,T,FI	3361335 	2344935 	1830562 	1201949 	867965 	771623 
A,DSP_L,FLOW_NET,T,FR	21837302 	20534207 	19800753 	17903325 	21000656 	19254032 
A,DSP_L,FLOW_NET,T,HR	1405798 	1446592 	1428185 	1422643 	1362274 	1132242 
A,DSP_L,FLOW_NET,T,HU	5455998 	5897435 	4799199 	4356431 	4032234 	4083868 
A,DSP_L,FLOW_NET,T,IE	1922929 	1550385 	849548 	1153550 s	719197 	: 
A,DSP_L,FLOW_NET,T,IT	21008734 s	19456203 s	16651361 s	15620126 s	14789950 s	12005388 s
A,DSP_L,FLOW_NET,T,LT	1122024 	976713 	828476 	436693 	373879 	: 
A,DSP_L,FLOW_NET,T,LU	51073 	40830 	45578 	223010 	102001 	85163 
A,DSP_L,FLOW_NET,T,LV	: 	: 	: 	: 	371994 	450898 
A,DSP_L,FLOW_NET,T,MT	230791 	220837 	231820 	236546 	286341 	292774 
A,DSP_L,FLOW_NET,T,NL	853004 	1327217 	1082556 	1220471 	808621 	820141 
A,DSP_L,FLOW_NET,T,PL	17935311 	19453192 	20609551 	19700810 	18550716 	11378254 
A,DSP_L,FLOW_NET,T,PT	3731827 	3565836 	3026359 	2893012 	3362248 	3620568 
A,DSP_L,FLOW_NET,T,RO	13513787 d	13547850 d	11640950 d	10731888 d	11271636 d	8853867 d
A,DSP_L,FLOW_NET,T,SE	1375543 	1341086 	1419256 	1394237 	1510516 	: 
A,DSP_L,FLOW_NET,T,SI	860244 	401839 	248115 	110824 	129370 	155091 
A,DSP_L,FLOW_NET,T,SK	2882851 d	2931386 d	2559740 d	3017152 d	2770065 d	2256733 d
A,DSP_L,FLOW_NET,T,UK	31291472 	27354634 	23189571 	20034653 	: 	: 
A,DSP_L,IMP,T,AT	9397 	14200 	18627 	32636 	17833 	52792 
A,DSP_L,IMP,T,BE	256746 	697975 	355364 	258901 	167822 	258710 
A,DSP_L,IMP,T,BG	40 	41 	1151 	18492 	3 	: 
A,DSP_L,IMP,T,CY	0 	0 	0 	0 	0 	0 
A,DSP_L,IMP,T,CZ	5598 	11999 	17224 	143 	7286 	70956 
A,DSP_L,IMP,T,DE	120954 s	242482 s	283472 s	132226 s	124885 s	113332 s
A,DSP_L,IMP,T,DK	0 	112061 	243222 	3526 	188 	12 
A,DSP_L,IMP,T,EE	7574 	8765 	20507 	0 	: 	: 
A,DSP_L,IMP,T,EL	: 	: 	: 	: 	747 	: 
A,DSP_L,IMP,T,ES	109395 	69301 	29329 	26759 	30975 	26294 
A,DSP_L,IMP,T,EU27_2020	550000 	1250000 	1020000 	1140000 	1070000 	1240000 
A,DSP_L,IMP,T,FI	8609 	93587 	0 	1 	61 	1 
A,DSP_L,IMP,T,FR	69751 	89633 	53899 	28897 	20324 	23493 
A,DSP_L,IMP,T,HR	7458 	0 	0 	0 	0 	0 
A,DSP_L,IMP,T,HU	334 	851 	4392 	3 	1303 	90 
A,DSP_L,IMP,T,IE	399 	1373 	4 	55 s	700 	: 
A,DSP_L,IMP,T,IT	32418 s	57447 s	91602 s	72036 s	206 s	578 s
A,DSP_L,IMP,T,LT	2066 	821 	20 	246 	1641 	: 
A,DSP_L,IMP,T,LU	13 	102 	28 	0 	0 	0 
A,DSP_L,IMP,T,LV	: 	: 	: 	: 	63295 	54287 
A,DSP_L,IMP,T,MT	0 	0 	0 	0 	0 	0 
A,DSP_L,IMP,T,NL	952 	2858 	57077 	25238 	207715 	485487 
A,DSP_L,IMP,T,PL	20027 	16602 	8504 	12343 	6759 	3722 
A,DSP_L,IMP,T,PT	0 	0 	0 	0 	11 	226 
A,DSP_L,IMP,T,RO	0 d	0 d	0 d	0 d	259 d	168 d
A,DSP_L,IMP,T,SE	17956 	91040 	78177 	144611 	77005 	: 
A,DSP_L,IMP,T,SI	896 	1252 	2 	0 	0 	998 
A,DSP_L,IMP,T,SK	0 d	0 d	0 d	0 d	10983 d	15313 d
A,DSP_L,IMP,T,UK	35071 	15028 	17800 	8373 	: 	: 
A,DSP_OTH,BAL_TRD,T,AT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,BE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,BG	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,CY	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,CZ	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,DE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,DK	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,EE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,EL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,ES	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,EU27_2020	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,FI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,FR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,HR	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,HU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,IE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,IT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,LT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,LU	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,LV	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,MT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,NL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,PL	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,PT	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,RO	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,SE	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,SI	: z	: z	: z	: z	: z	: z
A,DSP_OTH,BAL_TRD,T,SK	: z	: z	: z	: z	: z	: z
